trial_id,case,expected,observed,pass,expected_pulses,matched_pulses,missed_pulses,split_pulses,merged_groups,extra_output_pulses,detection_ratio,acquisition_limited_events,fs,source_width_s,latency_min_s,latency_max_s,minimum_valid_width_s,source_amplitude,output_noise,first_event_class,first_event_confidence,first_event_peak,estimated_tau_s,estimated_cutoff_hz
525,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.00020934091642263447,8.654575301355599e-05,0.0021167850889641546,8.37363665690538e-05,22.150036851345384,0.024826266243011152,pulse merging,high,22.242211651910587,,
526,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.00018856365956560227,0.00020603865283936093,0.0032131876141784366,7.542546382624091e-05,27.649148912757934,0.05442130892995826,pulse merging,high,27.824308570564344,,
527,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00018923848636745382,0.00019416035910878123,0.002769403943244972,7.569539454698154e-05,26.233574809643102,0.018820712134987982,pulse merging,high,26.298266336204147,,
528,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00019392104310331085,0.00024337479509055706,0.003313972469369717,7.756841724132435e-05,24.703194237462505,0.04347404792508866,pulse merging,high,24.84211128065585,,
529,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.0001811379402921187,0.00023274736740168714,0.002538565270169183,7.245517611684747e-05,23.499334006430168,0.06909897052020941,pulse merging,high,23.734143625176774,,
530,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.0002001934611367719,0.00023905452503596955,0.0032938208944485736,8.007738445470876e-05,25.633316637154223,0.07924143182093818,pulse merging,high,25.863599810299373,,
531,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00021198416907407144,0.00019200320125417971,0.0032944672643537053,8.479366762962858e-05,21.704378714893735,0.0690733773335937,pulse merging,high,21.948376991750067,,
532,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,400000.0,0.0002667398406966675,0.00013225810827240328,0.0025276561021670163,0.000106695936278667,24.848503111843414,0.048574816278358024,pulse merging,high,24.992341846286408,,
533,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00022612478926132583,0.00023168590050424878,0.0021504030391456238,9.044991570453034e-05,23.50695723972921,0.09887285043845957,pulse merging,high,23.788073973045265,,
534,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00029821354212647313,0.00014909279456227874,0.0022244300595710077,0.00011928541685058926,27.900308733143532,0.017901413013912633,pulse merging,high,27.959961284313984,,
535,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00020736987372027026,0.0002102936809128296,0.0026267292328183917,8.294794948810811e-05,22.272565909570062,0.04010270141474034,pulse merging,high,22.42113730081801,,
536,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.00026638260369498117,0.00018539103200041667,0.002893849126846553,0.00010655304147799248,26.656993247860672,0.03802094582226882,pulse merging,high,26.783007406614537,,
537,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.0002623532671317373,0.00011224023210726747,0.002344588554708585,0.00010494130685269493,25.663248666131594,0.03954155696636073,pulse merging,high,25.77328734366883,,
538,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.00018204754921870018,0.00021002985610836527,0.0032051197917395092,7.281901968748008e-05,23.22953590909498,0.03479051680564538,pulse merging,high,23.342592521257888,,
539,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.0001806570394987773,0.00024131952951209567,0.0030080544813706283,7.226281579951092e-05,23.924102218071997,0.07481339645208646,pulse merging,high,24.170348189282283,,
540,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.000254301306766369,0.00016824202842272235,0.0032356024610059163,0.00010172052270654761,25.515936659658852,0.029486527963811203,pulse merging,high,25.587317060592667,,
541,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.00029203704150951234,8.179641548851172e-05,0.0024762086278280523,0.00011681481660380494,25.652055274972938,0.0468153658403363,pulse merging,high,25.836211666604697,,
542,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.0002949726473463721,0.00020186564757578197,0.003275540711891238,0.00011798905893854885,24.31215376025595,0.022493281348604482,pulse merging,high,24.384508133957066,,
543,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.0002322643345406226,0.00019620857564674359,0.0031394037595156854,9.290573381624904e-05,26.51496847109005,0.09504652047665954,pulse merging,high,26.78194880749252,,
544,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00027668070889406694,0.00016442015882815804,0.002230711919506053,0.00011067228355762679,23.574342817875362,0.053287975801254744,pulse merging,high,23.71388881234139,,
545,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.00023205873742949875,0.00011744785031446392,0.002938813700360515,9.282349497179951e-05,23.08497069018392,0.09301056076619661,pulse merging,high,23.464291445934464,,
546,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.00026664831410802927,0.00021874787934607852,0.002020361218727969,0.00010665932564321172,20.64380175198498,0.0505123282489461,pulse merging,high,20.825558479830818,,
547,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00020069682263111667,0.00022844502152785228,0.002202630946276096,8.027872905244667e-05,20.6122904941655,0.09261806770646208,pulse merging,high,20.92933351365834,,
548,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.00034325091387675327,0.00018345981602755054,0.002730417104088699,0.0001373003655507013,25.133276239610247,0.07076834837252272,pulse merging,high,25.353330478085024,,
549,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00031810316124461567,0.00015543271393045517,0.002442310989973302,0.00012724126449784628,26.417206825638456,0.08168427012836885,pulse merging,high,26.686421674020863,,
550,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00031146520924315495,8.690813491011161e-05,0.0027240635155222613,0.00012458608369726197,23.439705093018716,0.11400654472045527,pulse merging,high,23.833999399428308,,
551,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.0003017586521407083,0.00010111867038597979,0.0030939565450450028,0.00012070346085628332,26.71744191234479,0.04570922827297204,pulse merging,high,26.84291200342385,,
552,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0002866472991507903,0.00012062194656241562,0.0025042923602453834,0.00011465891966031612,24.082557709424496,0.05817089599016149,pulse merging,high,24.24821470602251,,
553,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00020154897734006726,9.170665868760948e-05,0.003465378515644141,8.061959093602691e-05,22.817074572178193,0.09123669424796246,pulse merging,high,23.144944978477728,,
554,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.0002887203341709073,0.0001863788239797332,0.0020377497197371533,0.00011548813366836293,22.018836886467746,0.052774683067641784,pulse merging,high,22.205739670683837,,
555,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.0002119721421772689,9.826382671749476e-05,0.003466483986318419,8.478885687090756e-05,27.49459614340234,0.11768722760759757,pulse merging,high,27.839708895915958,,
