Family,Consensus RMSE vs truth,Collective exp-fit RMSE vs truth,Single-capture exp-fit RMSE vs truth,Collective boundary MAE (samples),Single boundary MAE (samples),Collective pole log-MAE,Single pole log-MAE,Alignment lag MAE (samples),Median pointwise spread
28,0.008946384758997407,0.005233315048356095,0.03813036642434969,15.0,29.0,0.8563671292377188,1.3401335282423714,3.73,0.04185631202974743
29,0.010185721495172793,0.00818452392320016,0.06758258830966626,8.4,7.0,0.8826310787065483,1.1948192015021322,0.75,0.04359875830529932
30,0.008811054906671167,0.008510048543260977,0.02517930697244226,1.6,3.8,0.37500615575002455,1.2025593967664137,0.32,0.04581788770232925
31,0.007785770282848132,0.0068221347882941215,0.0505588231880865,0.4,10.6,0.11959319556305421,1.2595332601385403,0.48,0.043500690756081
32,0.009946310815381313,0.009112875157602094,0.05028628771520537,1.2,7.8,0.23514893329714678,1.239013337935501,1.07,0.04496085289776361
33,0.007749265598007605,0.007090468367093862,0.018735995345017978,1.8,6.6,0.18926685735097673,0.8814975038504009,0.25,0.04385359168939468
34,0.00676838830978741,0.004736444871728203,0.025266284359252485,0.8,19.4,0.4376280814798932,1.8804868927273484,0.85,0.047113631440703005
35,0.012774450733453794,0.011269202638015582,0.022474171361627958,10.8,8.6,0.565264473951215,1.1293534884255225,1.81,0.044767611271388445
36,0.012483317194429978,0.011923497836551483,0.02729233053748269,2.0,2.8,0.12259394531876176,0.9360264826928141,0.36,0.047465914415312595
37,0.022806469175707406,0.023261298319124362,0.04488487055814367,1.6,8.4,0.2474655861981376,1.0326018067404903,1.41,0.04912236015215023
38,0.012653821446302171,0.011963984439895704,0.04968748012584311,1.6,7.4,0.36192925369570644,1.1317864042898977,0.23,0.046303432514177206
39,0.00805850983665649,0.006973207448020328,0.061211867647783275,1.8,6.8,0.12975774715994728,0.7842452766359188,0.28,0.0476150565967048
40,0.008821938328342986,0.006926302588410201,0.035036329833099324,1.2,20.2,0.0946660736220829,2.109962641787021,0.89,0.04678992392169201
41,0.008332430571637742,0.00949428259203794,0.04065292438595673,5.0,15.2,0.46623542031849546,1.4466967171443257,1.04,0.04287527463215197
42,0.014653899544064186,0.014192739701184657,0.045406165434777275,2.6,17.2,0.9729055439948952,1.745153380148292,1.34,0.04593140254038974
43,0.015062604666845749,0.01447789518119103,0.03380263657337071,2.4,10.0,0.2097719170034783,1.1929118077581997,1.81,0.045423017574627966
44,0.007108853846776552,0.005387251977332782,0.017733496823642367,1.2,3.8,0.3572339691822594,1.0797017021586004,0.7,0.04494930224037591
45,0.0075964810804360645,0.005558232675407787,0.028730291833789803,0.4,4.8,0.13520672085907456,1.6017722357527024,0.24,0.04507930111860927
