Family,Region,True pole,Collective fitted pole,Single fitted pole,True start,Collective fitted start,Single fitted start
30,4,-9.976086177366847,-9.634709742287807,-6.9141502952803435,110,111,108
30,5,-10.188104065560088,-5.857184518803278,-0.8,155,153,144
30,6,-4.440242955140064,-3.868691783137035,-7.512141688339704,192,189,189
31,1,-20.329853809797022,-20.326529287084,-33.435895543406936,0,0,0
31,2,-17.157444052194247,-15.848507336610563,-3.560731086348484,55,54,42
31,3,-2.6463887691898287,-2.5552850631330246,-0.8,87,87,87
31,4,-9.210034347850453,-8.86775489245368,-30.774287365112826,122,123,129
31,5,-3.869117618561362,-6.363761000398675,-55.0,156,156,186
31,6,-18.42240270250195,-17.219213869646232,-28.32455202526461,213,213,216
32,1,-3.987629800885858,-3.868691783137035,-0.8,0,0,0
32,2,-2.6181809992190517,-6.9141502952803435,-2.5552850631330246,37,39,39
32,3,-18.26834270459895,-18.708470141140005,-39.46961313959834,76,78,84
32,4,-4.695798172636423,-4.961797042613721,-28.32455202526461,122,123,123
32,5,-3.0167873929518016,-3.560731086348484,-55.0,152,153,177
32,6,-17.200999939464037,-14.586913589671289,-23.99457931044167,210,210,213
33,1,-27.539627372587592,-26.06982374322739,-20.326529287084,0,0,0
33,2,-2.8886694054939865,-1.553422626446251,-5.857184518803278,28,27,27
33,3,-14.674085002682268,-13.425746889173139,-0.8,58,54,78
33,4,-2.3230854033116226,-2.3518758972837563,-1.833747507331901,93,93,102
33,5,-3.5584794607857013,-2.5552850631330246,-1.6877751239661007,149,147,147
33,6,-15.410550119898872,-15.848507336610563,-10.467997023365006,202,204,201
34,1,-3.812649794257269,-1.6877751239661007,-0.8,0,0,0
34,2,-2.1443932900229523,-3.0164023204439605,-55.0,54,54,51
34,3,-2.4719362190076937,-8.161852192338433,-55.0,102,102,72
34,4,-8.144125283034262,-8.86775489245368,-0.8,129,129,108
34,5,-5.939283574819137,-4.961797042613721,-9.634709742287807,165,168,129
34,6,-8.958958410266803,-8.86775489245368,-15.848507336610563,190,189,183
35,1,-10.6411623201219,-8.86775489245368,-9.634709742287807,0,0,0
35,2,-15.86734863655458,-15.848507336610563,-36.32770102930122,40,42,42
35,3,-16.64434041101006,-22.084531217233312,-0.8,71,72,63
35,4,-27.57208812195572,-14.586913589671289,-55.0,121,93,102
35,5,-4.595031268081748,-39.46961313959834,-26.06982374322739,164,141,159
35,6,-7.937662671568257,-6.9141502952803435,-5.390933205247584,198,198,189
36,1,-5.813941313441418,-6.363761000398675,-0.8,0,0,0
36,2,-8.669136419777338,-8.161852192338433,-8.86775489245368,43,45,42
36,3,-14.841551939282379,-9.634709742287807,-0.8,106,102,99
36,4,-21.65826547177626,-20.326529287084,-33.435895543406936,134,135,135
36,5,-28.39879871788859,-30.774287365112826,-30.774287365112826,160,162,159
36,6,-17.375810706390855,-17.219213869646232,-14.586913589671289,200,201,204
37,1,-20.352794292690607,-20.326529287084,-39.46961313959834,0,0,0
37,2,-8.717329823658378,-8.86775489245368,-6.363761000398675,30,30,24
37,3,-5.300076782516291,-4.961797042613721,-1.3159509947289614,87,87,81
37,4,-24.010421815926343,-22.084531217233312,-55.0,137,135,138
37,5,-2.9699303324911934,-0.8,-12.357012909144409,181,177,162
37,6,-11.432050018355298,-11.373353698474634,-55.0,209,207,219
38,1,-27.87750056710336,-26.06982374322739,-14.586913589671289,0,0,0
38,2,-3.185417379638442,-2.7762866915774826,-33.435895543406936,37,36,42
38,3,-18.74391705337254,-17.219213869646232,-8.86775489245368,76,75,72
38,4,-9.47375461298787,-8.161852192338433,-0.8,104,105,114
38,5,-4.2574698339575265,-0.8,-3.0164023204439605,158,162,141
38,6,-19.117001229891695,-20.326529287084,-23.99457931044167,194,195,195
39,1,-6.04723123294875,-6.363761000398675,-30.774287365112826,0,0,0
39,2,-24.385588747631118,-18.708470141140005,-5.857184518803278,43,42,33
39,3,-16.04418631304366,-22.084531217233312,-33.435895543406936,72,66,60
39,4,-8.365198337876159,-8.161852192338433,-4.961797042613721,122,123,117
39,5,-20.89013186202854,-20.326529287084,-22.084531217233312,162,162,168
39,6,-26.281089745980267,-23.99457931044167,-18.708470141140005,193,192,192
40,1,-12.735234610718488,-12.357012909144409,-3.2772850824025843,0,0,0
40,2,-33.6277423920148,-30.774287365112826,-0.8,50,51,45
40,3,-12.24019469412053,-13.425746889173139,-1.6877751239661007,76,78,66
40,4,-6.545771481548941,-5.857184518803278,-0.8,136,135,111
40,5,-9.396555747199033,-10.467997023365006,-13.425746889173139,176,177,132
40,6,-18.186367793303493,-15.848507336610563,-0.8,206,207,189
41,1,-18.00880541793852,-15.848507336610563,-23.99457931044167,0,0,0
