case,repeat,true_interruption,detected_interruption,status,selected_window_samples,confidence,true_retained_pu,duration_s,minimum_retained_rms_pu,median_retained_rms_pu,subtype
temporary_interruption,27,True,True,temporary_interruption,9,0.8107810837883891,0.01653032185844241,3.6533333333333333,0.004843801989126568,0.018921891621161094,temporary_interruption
temporary_interruption,28,True,True,temporary_interruption,9,0.4942340277096023,0.04957045696702435,3.878888888888889,0.024856457730566404,0.050576597229039774,temporary_interruption
temporary_interruption,29,True,True,temporary_interruption,9,0.6621116073455187,0.03282789046602809,3.9766666666666666,0.010912378629705732,0.03378883926544814,temporary_interruption
distorted_temporary_interruption,0,True,True,temporary_interruption,9,0.802469070786019,0.01789670207533737,4.623333333333333,0.004680219602152503,0.0197530929213981,temporary_interruption
distorted_temporary_interruption,1,True,True,temporary_interruption,9,0.5297436108597179,0.04329493543434456,3.9466666666666668,0.01577071011041111,0.047025638914028216,temporary_interruption
distorted_temporary_interruption,2,True,True,temporary_interruption,9,0.3126122315761488,0.06951623053358937,3.716666666666667,0.05011402773248049,0.06873877684238512,temporary_interruption
distorted_temporary_interruption,3,True,True,temporary_interruption,17,0.5646299398064312,0.0435922741972808,5.443333333333333,0.031164445062345697,0.04353700601935689,temporary_interruption
distorted_temporary_interruption,4,True,True,temporary_interruption,9,0.4858336531814708,0.054359313893049994,4.878888888888889,0.031777332226947376,0.051416634681852924,temporary_interruption
distorted_temporary_interruption,5,True,True,temporary_interruption,9,0.7665116579645994,0.022303842809306387,3.95,0.006560833062369623,0.023348834203540062,temporary_interruption
distorted_temporary_interruption,6,True,True,temporary_interruption,9,0.7241016879035256,0.024710651641341015,4.097777777777778,0.012002757285747545,0.027589831209647447,temporary_interruption
distorted_temporary_interruption,7,True,True,temporary_interruption,9,0.5369929878224969,0.04515840409609897,4.756666666666667,0.02363366843558934,0.046300701217750304,temporary_interruption
distorted_temporary_interruption,8,True,True,temporary_interruption,9,0.6952405844577271,0.02952385283252643,4.6,0.016155805333303463,0.030475941554227295,temporary_interruption
distorted_temporary_interruption,9,True,True,temporary_interruption,9,0.718771124398398,0.02726198139873102,5.344444444444444,0.011313873203202958,0.02812288756016021,temporary_interruption
distorted_temporary_interruption,10,True,True,temporary_interruption,9,0.7343324756549183,0.02450518604397502,3.6155555555555554,0.008806346308848436,0.026566752434508168,temporary_interruption
distorted_temporary_interruption,11,True,True,temporary_interruption,17,0.5801116137179018,0.04164909482983891,4.6866666666666665,0.03186748261167878,0.041988838628209825,temporary_interruption
distorted_temporary_interruption,12,True,True,temporary_interruption,9,0.8346932758791198,0.010356812013136523,3.4755555555555557,0.003707183498470311,0.01653067241208802,temporary_interruption
distorted_temporary_interruption,13,True,True,temporary_interruption,9,0.8384496857108039,0.008788775459119234,4.484444444444445,0.003735874759956575,0.0161550314289196,temporary_interruption
distorted_temporary_interruption,14,True,True,temporary_interruption,9,0.40949531980302434,0.059094640669563145,5.496666666666667,0.045968758952319805,0.05905046801969757,temporary_interruption
distorted_temporary_interruption,15,True,True,temporary_interruption,9,0.40079976636357995,0.05733655547212764,4.0,0.029207652577881278,0.05992002336364201,temporary_interruption
distorted_temporary_interruption,16,True,True,temporary_interruption,9,0.7629558741946457,0.021722774304076337,4.2444444444444445,0.00608230899757886,0.023704412580535433,temporary_interruption
distorted_temporary_interruption,17,True,True,temporary_interruption,9,0.5843955806572511,0.04173673774337048,4.311111111111111,0.01720293846314192,0.0415604419342749,temporary_interruption
distorted_temporary_interruption,18,True,True,temporary_interruption,9,0.8254878752058743,0.01329360598381232,3.8255555555555554,0.0021184136612424865,0.017451212479412573,temporary_interruption
distorted_temporary_interruption,19,True,True,temporary_interruption,9,0.7318011662279708,0.02472342347039278,4.595555555555555,0.007590008836432567,0.02681988337720293,temporary_interruption
distorted_temporary_interruption,20,True,True,temporary_interruption,9,0.7647264172668766,0.020939507427735853,4.908888888888889,0.006866143526834852,0.023527358273312347,temporary_interruption
distorted_temporary_interruption,21,True,True,temporary_interruption,9,0.6497472921809586,0.03624292678664091,5.096666666666667,0.01929351182368362,0.035025270781904136,temporary_interruption
distorted_temporary_interruption,22,True,True,temporary_interruption,9,0.6504948647753883,0.03374697891056898,4.887777777777778,0.012585885434329352,0.034950513522461174,temporary_interruption
distorted_temporary_interruption,23,True,True,temporary_interruption,9,0.7573562554182289,0.023193329253014153,4.7,0.005714597639328135,0.024264374458177106,temporary_interruption
distorted_temporary_interruption,24,True,True,temporary_interruption,9,0.6641089781883286,0.03153557117373404,5.128888888888889,0.010623809721531973,0.033589102181167146,temporary_interruption
distorted_temporary_interruption,25,True,True,temporary_interruption,9,0.8164243150714608,0.0146485149557831,4.607777777777778,0.004380644783628581,0.01835756849285392,temporary_interruption
distorted_temporary_interruption,26,True,True,temporary_interruption,9,0.8720231297953287,0.0055340512155725805,4.648888888888889,0.0017801407178743684,0.012797687020467133,temporary_interruption
distorted_temporary_interruption,27,True,True,temporary_interruption,9,0.40233037597017135,0.06084954889687527,3.2844444444444445,0.03729026157244927,0.05976696240298287,temporary_interruption
distorted_temporary_interruption,28,True,True,temporary_interruption,9,0.8250022779851736,0.014099036009038134,5.572222222222222,0.003876343778447499,0.017499772201482647,temporary_interruption
