case,repeat,true_sag,detected_sag,status,selected_window_samples,alignment_lag_samples,alignment_correlation,event_count,confidence,classification,true_start_s,true_end_s,retained_gain,detected_start_s,detected_end_s,max_depth,deficit_area_s,entry_timescale_s,recovery_timescale_s,median_correlation,median_rms_ratio,unknown_residual_energy,start_error_s,end_error_s
distorted_sag,38,True,True,distorted_sag_supported,81,2,0.9913764048801271,1,0.7737209512122677,distorted_sag_supported,0.7858962625076799,1.0783657461848517,0.6170573325115679,0.786,1.089,0.35229947695187247,0.09154371642282516,0.021927687270525225,0.026649875185937484,0.9914077464430857,0.6562662574425999,2.061244811798771,0.00010373749232017726,0.010634253815148265
distorted_sag,39,True,True,distorted_sag_supported,81,3,0.9896365648185953,1,0.6955254329918337,distorted_sag_supported,0.7548320866388127,1.0777265727116263,0.594180015874254,0.749,1.077,0.35911606842710575,0.10281925690289717,0.030827354463904392,0.02371493708624807,0.990085954711161,0.651986525725844,2.9596877006441824,-0.005832086638812739,-0.0007265727116263498
distorted_sag,40,True,True,distorted_sag_supported,81,6,0.9854372152260503,1,0.7320740766360195,distorted_sag_supported,0.5138551443651045,0.936311486793534,0.5980976469528192,0.51,0.978,0.37709983929761615,0.1509915302370947,0.028898030829537198,0.05792232722168335,0.9905677840996129,0.6370942143955639,2.6812804674998874,-0.0038551443651044792,0.04168851320646594
distorted_sag,41,True,True,distorted_sag_supported,81,2,0.9816138480127008,1,0.6210844216785969,distorted_sag_supported,0.773928509318244,1.1963004578019532,0.5033828978008865,0.761,1.247,0.463302270766512,0.18310669173206867,0.024353979001412222,0.06408662240275215,0.9809658875740789,0.5641819403817748,3.616808795670953,-0.012928509318243964,0.050699542198046954
distorted_sag,42,True,True,clean_sag_supported,81,-5,0.9942332726048521,1,0.8428907589611919,clean_sag_supported,0.5605922230226199,1.0526458650208532,0.7599276144225475,0.537,1.078,0.23479593702659496,0.10910792582833893,0.060867457231768646,0.0318015328617817,0.9970011422145294,0.7638950822762824,1.1549653357813552,-0.023592223022619874,0.025354134979146847
distorted_sag,43,True,True,distorted_sag_supported,81,-2,0.9885946724762773,1,0.7816952526266784,distorted_sag_supported,0.66488495916827,1.087059896468752,0.6254802192645339,0.633,1.1400000000000001,0.34746848678117215,0.1364966243032722,0.03226005408063097,0.03323619714382307,0.9918825314604114,0.659939271972644,2.0942237309199214,-0.031884959168269944,0.05294010353124823
distorted_sag,44,True,True,clean_sag_supported,81,1,0.9970034037958215,1,0.8116308979295416,clean_sag_supported,0.7550611093918134,1.147519125796053,0.8157504481611204,0.779,1.166,0.19159138246816532,0.065135304635138,0.033367942915089994,0.021652717707691636,0.9974425429411358,0.8315422890323358,0.9131372570323,0.023938890608186658,0.01848087420394684
distorted_sag,45,True,True,distorted_sag_supported,81,-7,0.9892765403299153,1,0.7725568453621869,distorted_sag_supported,0.5063196299483884,0.8456112166541749,0.629553405857713,0.506,0.891,0.34988899995345146,0.11498136559090777,0.033011587079524764,0.029062226305098932,0.9923864703896841,0.6550486498059771,2.1442710345645106,-0.0003196299483884113,0.04538878334582508
distorted_sag,46,True,True,distorted_sag_supported,81,-5,0.9942229916312316,1,0.8244069471948616,distorted_sag_supported,0.4845958989306152,0.8408158305175544,0.7346759388649594,0.496,0.886,0.25095921508473285,0.08221880444707722,0.03875153067965582,0.030671745311323963,0.9968157444770795,0.7534946153772079,1.470005463482692,0.011404101069384776,0.045184169482445635
distorted_sag,47,True,True,distorted_sag_supported,81,2,0.9897373907333472,1,0.8001010916606531,distorted_sag_supported,0.7511867530249082,1.1386043247520035,0.6149289786827965,0.708,1.168,0.35608384524028436,0.13361181063151534,0.04973353152080734,0.025293679160170036,0.9917159953442304,0.6600373232866139,2.0732797750348215,-0.043186753024908264,0.029395675247996467
